Price,Kilometers_Driven,Fuel_Type,Transmission,City_of_Listing,Brand,Model,Vehicle_Age,Market_Segment
550000,29391,petrol,manual,gurgaon,honda,honda amaze,10,sedan
1050000,30474,petrol,manual,gurgaon,hyundai,hyundai creta,7,suv
395000,23000,petrol,manual,gurgaon,hyundai,hyundai i10,13,hatchback
400000,13239,petrol,manual,gurgaon,maruti,maruti celerio,4,hatchback
689000,42329,petrol,manual,gurgaon,maruti,maruti baleno,5,hatchback
513623,69781,diesel,manual,gurgaon,tata,tata safari storme,12,suv
1600000,19523,petrol,manual,gurgaon,mg,mg hector,6,suv
335000,108708,petrol,manual,gurgaon,hyundai,hyundai verna,13,sedan
230000,67885,petrol,manual,gurgaon,hyundai,hyundai eon,13,hatchback
600000,16882,petrol,automatic,gurgaon,maruti,maruti swift,8,hatchback
130000,136986,petrol,manual,gurgaon,hyundai,hyundai i10,17,hatchback
120000,130161,diesel,manual,gurgaon,chevrolet,chevrolet beat,13,hatchback
342657,63191,petrol,manual,gurgaon,maruti,maruti swift dzire,12,sedan
200000,113031,petrol,manual,gurgaon,renault,renault kwid,10,hatchback
260000,82545,petrol,manual,gurgaon,honda,honda city,17,sedan
600000,69496,diesel,automatic,gurgaon,hyundai,hyundai verna,11,sedan
350000,87696,diesel,Fmanual,gurgaon,maruti,maruti swift,13,hatchback
375000,61248,petrol,manual,gurgaon,honda,honda amaze,10,sedan
320000,82053,diesel,manual,gurgaon,nissan,nissan terrano,12,suv
631000,49867,petrol,automatic,gurgaon,maruti,maruti swift dzire,8,sedan
900000,78098,diesel,manual,gurgaon,mahindra,mahindra xuv500,11,suv
1200000,47791,petrol,manual,gurgaon,mahindra,mahindra thar,5,suv
400000,65218,diesel,manual,gurgaon,maruti,maruti swift dzire,11,sedan
1400000,82475,diesel,manual,gurgaon,mg,mg hector,7,suv
200000,199136,petrol,manual,gurgaon,maruti,maruti swift,18,hatchback
200000,93996,petrol,manual,gurgaon,hyundai,hyundai i10,14,hatchback
1100000,63094,petrol,automatic,gurgaon,skoda,skoda octavia,10,sedan
440000,43032,petrol,automatic,gurgaon,maruti,maruti wagon r,8,hatchback
2290000,66000,diesel,automatic,gurgaon,audi,audi q7,11,suv
525000,46000,petrol,manual,gurgaon,maruti,maruti swift dzire,8,sedan
483000,31747,petrol,manual,gurgaon,nissan,magnite xv executive,4,suv
6000000,2953,petrol,automatic,gurgaon,mercedes-benz,mercedes-benz glc,4,suv
220624,121231,diesel,manual,gurgaon,hyundai,hyundai grand i10,13,hatchback
141838,19521,petrol,manual,gurgaon,hyundai,hyundai santro xing,17,hatchback
549000,41255,petrol,manual,gurgaon,maruti,maruti baleno,10,hatchback
550000,29224,petrol,manual,gurgaon,hyundai,hyundai i20,8,hatchback
370000,53029,diesel,manual,gurgaon,mahindra,mahindra nuvosport,10,suv
1100000,13503,petrol,automatic,gurgaon,hyundai,hyundai venue,5,suv
300000,80725,petrol,manual,gurgaon,maruti,maruti swift dzire,13,sedan
240000,116961,petrol,manual,gurgaon,hyundai,hyundai i20,13,hatchback
240000,47557,petrol,manual,gurgaon,maruti,maruti wagon r,16,hatchback
230000,122546,petrol,manual,gurgaon,hyundai,hyundai i20,15,hatchback
